month,model,n_obs,direction_accuracy,balanced_accuracy,f1_positive,mcc,rmse_return,mae_return
2022-11,LLM multi-agent hybrid,22,0.5,0.4916666666666667,0.42105263157894735,-0.016878989451394443,0.021788386978119852,0.01869944010259385
2022-11,Market-only Ridge/LogReg,22,0.5909090909090909,0.575,0.47058823529411764,0.16035674514745463,0.020305706157343742,0.017254555853331008
2022-11,Naive previous return,22,0.4090909090909091,0.4,0.3157894736842105,-0.20254787341673333,0.031233339078923013,0.025403699617920206
2022-11,VAR market system,22,0.3181818181818182,0.3333333333333333,0.4,-0.3563483225498992,0.021974797406733686,0.017666532738038348
2022-11,VARX/Ridge news system,22,0.6363636363636364,0.625,0.5555555555555556,0.25877458475338283,0.020428133473720717,0.017559886699036555
2022-12,ARIMAX market,22,0.4090909090909091,0.3632478632478633,0.13333333333333333,-0.3019405424385589,0.022420147357679852,0.01968529261186873
2022-12,ARIMAX simple news,22,0.4090909090909091,0.3632478632478633,0.13333333333333333,-0.3019405424385589,0.02312496903435138,0.02025139273696672
2022-12,LLM multi-agent hybrid,22,0.5,0.5085470085470085,0.47619047619047616,0.016878989451394443,0.023193755893237175,0.019689712508538945
2022-12,Market-only Ridge/LogReg,22,0.45454545454545453,0.452991452991453,0.4,-0.09245003270420485,0.023285477973127973,0.01935302879641957
2022-12,Naive previous return,22,0.5909090909090909,0.5854700854700855,0.5263157894736842,0.16878989451394444,0.0298266387290722,0.025106240169006897
2022-12,VAR market system,22,0.45454545454545453,0.5213675213675213,0.5714285714285714,0.06122652986422042,0.02283035604713605,0.0184245151853174
2022-12,VARX/Ridge news system,22,0.4090909090909091,0.39743589743589747,0.3157894736842105,-0.20254787341673333,0.024905384439792885,0.020657026371234902
2023-01,ARIMAX market,22,0.45454545454545453,0.4545454545454546,0.25,-0.10846522890932808,0.02328149335385698,0.01854944307851974
2023-01,ARIMAX simple news,22,0.4090909090909091,0.4090909090909091,0.13333333333333333,-0.23570226039551584,0.023908673515582055,0.01884923515790191
2023-01,LLM multi-agent hybrid,22,0.36363636363636365,0.36363636363636365,0.4166666666666667,-0.2773500981126146,0.028435938309044447,0.022248294134265358
2023-01,Market-only Ridge/LogReg,22,0.7272727272727273,0.7272727272727273,0.75,0.46225016352102427,0.020078875543716,0.015343622871089346
2023-01,Naive previous return,22,0.5909090909090909,0.5909090909090908,0.6086956521739131,0.18257418583505536,0.03090500503475806,0.024111836482463008
2023-01,VAR market system,22,0.45454545454545453,0.45454545454545453,0.625,-0.2182178902359924,0.022480874516416498,0.017880411000959055
2023-01,VARX/Ridge news system,22,0.5909090909090909,0.5909090909090908,0.6086956521739131,0.18257418583505536,0.02224797892932026,0.018699165060494335
2023-02,ARIMAX market,20,0.45,0.45,0.0,-0.22941573387056174,0.02124574225198546,0.017171155139878595
2023-02,ARIMAX simple news,20,0.45,0.45,0.0,-0.22941573387056174,0.021824028348967097,0.017255690240764877
2023-02,LLM multi-agent hybrid,20,0.55,0.55,0.18181818181818182,0.22941573387056174,0.02043180739047726,0.016687481958071015
2023-02,Market-only Ridge/LogReg,20,0.5,0.5,0.375,0.0,0.019180033649685853,0.01629207751085144
2023-02,Naive previous return,20,0.4,0.4,0.3333333333333333,-0.2041241452319315,0.027382819148389127,0.022902015181144895
2023-02,VAR market system,20,0.45,0.45,0.5925925925925926,-0.140028008402801,0.01817829481263457,0.01566219184103066
2023-02,VARX/Ridge news system,20,0.45,0.45,0.42105263157894735,-0.10050378152592121,0.018950806950307857,0.016111288252266362
2023-03,ARIMAX market,23,0.4782608695652174,0.49242424242424243,0.25,-0.01996807659577179,0.02756382575630478,0.021931845974059897
2023-03,ARIMAX simple news,23,0.4782608695652174,0.49242424242424243,0.25,-0.01996807659577179,0.027767986784960032,0.021922848562879852
2023-03,LLM multi-agent hybrid,23,0.5652173913043478,0.5757575757575758,0.4444444444444444,0.17236256333167305,0.02941974819243165,0.022308710708209292
2023-03,Market-only Ridge/LogReg,23,0.6086956521739131,0.6136363636363636,0.5714285714285714,0.2326210525996177,0.029431712067988405,0.022974314327250153
2023-03,Naive previous return,23,0.4782608695652174,0.4772727272727273,0.5,-0.045454545454545456,0.03570091667452898,0.028486368050667326
2023-03,VAR market system,23,0.5217391304347826,0.5075757575757576,0.6451612903225806,0.01996807659577179,0.028022118770831998,0.022527709299065894
2023-03,VARX/Ridge news system,23,0.5217391304347826,0.5227272727272727,0.5217391304347826,0.045454545454545456,0.029885141779708826,0.023325059719400406
2023-04,ARIMAX market,20,0.6,0.5757575757575758,0.42857142857142855,0.17407765595569785,0.016792787826893484,0.013563187385137931
2023-04,ARIMAX simple news,20,0.6,0.5757575757575758,0.42857142857142855,0.17407765595569785,0.01713143973873573,0.013631938253337663
2023-04,LLM multi-agent hybrid,20,0.65,0.6414141414141414,0.5882352941176471,0.28721347895177635,0.01546385549858063,0.01252002950448689
2023-04,Market-only Ridge/LogReg,20,0.4,0.40404040404040403,0.4,-0.1919191919191919,0.01771356444612561,0.01369768757115209
2023-04,Naive previous return,20,0.25,0.24747474747474746,0.21052631578947367,-0.502518907629606,0.028800876279484664,0.02107839180951383
2023-04,VAR market system,20,0.35,0.3888888888888889,0.5185185185185185,-0.3685138655950444,0.014693220666091604,0.010749023393692344
2023-04,VARX/Ridge news system,20,0.4,0.41414141414141414,0.45454545454545453,-0.17910620335162064,0.018216084454767908,0.013101144582049798
2023-05,ARIMAX market,23,0.4782608695652174,0.4230769230769231,0.0,-0.27066598098038336,0.024549263260217887,0.020114827786630513
2023-05,ARIMAX simple news,23,0.5217391304347826,0.47307692307692306,0.15384615384615385,-0.07925939239012171,0.025041195490552386,0.02026174780288342
2023-05,LLM multi-agent hybrid,23,0.7391304347826086,0.7692307692307692,0.7692307692307693,0.5801193511153214,0.024034063021313275,0.018516637429843195
2023-05,Market-only Ridge/LogReg,23,0.6521739130434783,0.6692307692307693,0.6666666666666666,0.34379196935489664,0.02358885535547792,0.01844001015139813
2023-05,Naive previous return,23,0.4782608695652174,0.46923076923076923,0.4,-0.06153846153846154,0.03893808188263051,0.030591284622254137
2023-05,VAR market system,23,0.5217391304347826,0.5538461538461539,0.5925925925925926,0.1215783580010781,0.02405550661871966,0.01894341943924144
2023-05,VARX/Ridge news system,23,0.6086956521739131,0.6307692307692307,0.64,0.2722178614686481,0.024956876504265157,0.019867411165572876
2023-06,ARIMAX market,22,0.45454545454545453,0.4916666666666667,0.14285714285714285,-0.028867513459481284,0.02054844469343928,0.015953639791176897
2023-06,ARIMAX simple news,22,0.5,0.5416666666666666,0.15384615384615385,0.19920476822239894,0.02099761287447037,0.01631549694820132
2023-06,LLM multi-agent hybrid,22,0.6818181818181818,0.6833333333333333,0.6956521739130435,0.3651483716701107,0.019710235663552046,0.015581529968290512
